"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:35:27.4866316 am","python.exe","16236","CreateFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:35:27.4866987 am","python.exe","16236","QueryBasicInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","CreationTime: 14/10/2020 10:53:37 am, LastAccessTime: 5/8/2022 10:35:12 am, LastWriteTime: 14/10/2020 10:53:37 am, ChangeTime: 23/6/2022 9:43:21 pm, FileAttributes: A"
"10:35:27.4867335 am","python.exe","16236","QueryFileInternalInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","IndexNumber: 0x100000001365c"
"10:35:27.4867538 am","python.exe","16236","QueryStandardInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","AllocationSize: 454,656, EndOfFile: 452,608, NumberOfLinks: 2, DeletePending: False, Directory: False"
"10:35:27.4868939 am","python.exe","16236","CreateFile","C:\Windows\System32\WindowsPowerShell\v1.0\~BROMIUM\powershell.exe","PATH NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Non-Directory File, Complete If Oplocked, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"10:35:27.4869938 am","python.exe","16236","CreateFileMapping","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
"10:35:27.4870429 am","python.exe","16236","CreateFileMapping","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","SyncType: SyncTypeOther"
"10:35:27.4871176 am","python.exe","16236","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\powershell.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"10:35:27.4872179 am","python.exe","16236","QueryNameInformationFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","Name: \Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"10:35:27.4924182 am","python.exe","16236","CreateFile","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
